"","X","Y","G","head","foot.l","foot.r","pen","free.k","set.p","corner","fast.break","Xg","Yg"
"1391",19.2,46.1,0,0,0,1,0,0,0,0,0,0.864583333333334,0.815789473684211
"3972",8.3,57.1,1,1,0,0,0,0,0,0,0,0.0416666666666665,0.165789473684211
"3243",14.2,70.7,0,0,1,0,0,0,0,0,0,0.958333333333333,0.0342105263157895
"3629",5.5,51.3,0,0,0,1,0,0,0,0,0,0.229166666666666,0.1
"1116",15.6,49.1,1,0,0,1,0,0,0,0,0,0.541666666666667,0.265789473684211
"3794",17.7,49.7,1,0,0,1,0,0,0,0,1,0.270833333333333,0.0157894736842105
"2875",5,51.2,0,0,0,1,0,0,0,0,0,0.5625,0.35
"2708",24.6,58.8,1,0,0,1,0,0,0,0,0,0.552083333333333,0.0657894736842105
"209",16.1,36.9,0,0,1,0,0,0,0,0,0,0.0520833333333334,0.0342105263157895
"1559",7.59999999999999,50.9,0,0,0,0,0,0,0,0,0,0.229166666666666,0.0842105263157895
"1884",12.5,45.6,1,0,0,1,0,0,0,0,0,0.354166666666667,0.115789473684211
"2208",23.4,33.9,0,0,1,0,0,0,0,0,0,0.6875,0.55
"2752",6.09999999999999,34,0,0,0,1,0,0,1,0,0,0.385416666666666,0.15
"3607",8.5,63.6,0,0,0,1,0,0,0,0,0,0.25,0.05
"2436",10.3,37.7,1,0,0,1,0,0,0,0,0,0.229166666666666,0.681578947368421
"1687",6.7,49.5,0,1,0,0,0,0,1,0,0,0.239583333333333,0.334210526315789
"2134",18.4,57.3,0,0,0,1,0,0,0,0,0,0.416666666666667,0.134210526315789
"231",9.59999999999999,47.1,0,1,0,0,0,0,0,0,0,0.15625,0.61578947368421
"1027",11.5,50,1,0,0,1,1,0,0,0,0,0.885416666666667,0.0342105263157895
"1562",13.3,25.5,0,0,1,0,0,0,0,0,0,0.177083333333333,0.0157894736842105
"778",14.8,23.5,0,0,1,0,0,0,0,0,0,0.239583333333333,0.15
"3271",7.2,48.9,1,1,0,0,0,0,0,0,0,0.666666666666667,0.55
"601",7.2,45.6,0,1,0,0,0,0,0,0,0,0.520833333333334,0.5
"3157",21.2,51.5,0,0,0,1,0,0,0,0,0,0.125,0.165789473684211
"2148",22.1,37.8,0,0,1,0,0,0,0,0,0,0.385416666666666,0.184210526315789
"2601",8.5,76.1,0,0,1,0,0,0,0,0,0,0.895833333333333,0.334210526315789
"675",15.1,39.8,0,0,1,0,0,0,0,0,1,0.96875,0.1
"2485",12.7,45.8,0,0,0,1,0,0,0,0,0,0.625,0.315789473684211
"1224",35.2,72.6,0,0,0,1,0,0,0,0,0,0.65625,0.681578947368421
"2843",11.8,53.2,1,0,0,1,0,0,0,0,0,0.927083333333334,0.0157894736842105
"1565",18.5,70.6,0,0,0,1,0,0,0,0,0,0.552083333333333,0.215789473684211
"3801",24.5,33.5,0,0,1,0,0,0,0,0,0,0.614583333333334,0.0657894736842105
"3793",11.5,50,1,0,0,1,1,0,0,0,0,0.0208333333333329,0.365789473684211
"2848",7.8,46,1,1,0,0,0,0,1,0,0,0.854166666666667,0.1
"1008",23.1,44,0,0,0,1,0,0,0,0,0,0.166666666666666,0.184210526315789
"869",4.40000000000001,54.6,1,0,0,1,0,0,0,0,0,0.708333333333333,0.215789473684211
"2323",11.5,50,1,0,1,0,1,0,0,0,0,0.0937499999999999,0.5
"1048",6.40000000000001,69.3,0,0,0,1,0,0,0,0,0,0.4375,0.465789473684211
"2079",5.2,70.9,0,0,1,0,0,0,0,0,1,0.270833333333333,0.115789473684211
"3073",7.2,58,1,0,0,1,0,0,0,0,0,0.114583333333333,0.05
"658",11.1,27.9,0,0,0,1,0,0,0,0,0,0.0312499999999997,0.115789473684211
"1582",26.9,63.9,1,0,1,0,0,0,0,0,0,0.302083333333333,0.0842105263157895
"1844",7.5,55.3,0,1,0,0,0,0,0,0,0,0.864583333333334,0.534210526315789
"3394",12.4,64.2,0,0,1,0,0,0,0,0,0,0.395833333333333,0.0368421052631579
"4063",10,64.2,0,0,1,0,0,0,0,0,0,0.197916666666667,0.234210526315789
"3446",14.5,32.8,1,0,1,0,0,0,0,1,0,0.916666666666667,0.2
"2634",16.7,65.6,0,0,0,1,0,0,0,0,0,0.302083333333333,0.831578947368421
"3711",12.4,58.8,0,0,0,1,0,0,0,0,0,0.791666666666667,0.0157894736842105
"2017",11.2,41.2,0,0,0,1,0,0,0,0,0,0.510416666666667,0.215789473684211
"2251",22.4,25.5,0,0,0,1,0,0,0,0,0,0.46875,0.265789473684211
"1313",6.90000000000001,44.8,0,1,0,0,0,0,0,1,0,0.604166666666667,0.665789473684211
"1355",25.1,46.7,0,0,0,1,0,0,0,0,0,0.864583333333334,0.63421052631579
"79",18.8,47.2,0,0,0,1,0,0,0,0,0,0.427083333333333,0.35
"1961",9.09999999999999,30.5,0,0,0,1,0,0,0,0,0,0.354166666666667,0.365789473684211
"3396",30.2,38.5,0,0,0,1,0,0,0,0,0,0.59375,0.0157894736842105
"25",9.8,66.8,1,0,0,1,0,0,0,0,0,0.708333333333333,0.0342105263157895
"281",7.2,62.3,0,1,0,0,0,0,1,0,0,0.5,0.165789473684211
"640",29,29.1,0,0,1,0,0,1,0,0,0,0.135416666666666,0.515789473684211
"3000",14.6,49.8,0,1,0,0,0,0,0,0,0,0.864583333333334,0.315789473684211
"2863",5,47,0,0,0,1,0,0,0,0,0,0.677083333333334,0.134210526315789
"3783",11,38.8,0,0,1,0,0,0,0,0,0,0.15625,0.0736842105263158
"1816",7.59999999999999,55.4,0,1,0,0,0,0,0,1,0,0.739583333333333,0.215789473684211
