"","X","Y","G","head","foot.l","foot.r","pen","free.k","set.p","corner","fast.break","Xg","Yg"
"1102",12.9,72.6,0,0,0,1,0,0,0,0,0,0.677083333333334,0.86578947368421
"1104",31.1,60.5,0,0,1,0,0,0,0,0,0,0.65625,0.5
"1107",2.09999999999999,43.2,0,0,0,1,0,0,1,0,0,0.3125,0.215789473684211
"1108",1.7,49.1,1,0,0,1,0,0,1,0,0,0.322916666666666,0.5
"1109",23.9,41.9,0,0,1,0,0,0,0,0,0,0.78125,0.415789473684211
"1110",11.5,50,1,0,0,1,1,0,0,0,0,0.927083333333334,0.0342105263157895
"1113",21.1,52.6,0,0,0,1,0,0,0,0,0,0.739583333333333,0.165789473684211
"1117",19,32,0,0,0,1,0,0,0,0,0,0.5625,0.0157894736842105
"1119",7.40000000000001,48.3,0,0,0,1,0,0,0,0,0,0.59375,0.315789473684211
"1123",15.8,52,0,0,0,1,0,0,0,0,0,0.614583333333334,0.0342105263157895
"1126",14.9,50.2,0,0,0,1,0,0,0,0,0,0.75,0.184210526315789
"1130",9.40000000000001,49.9,1,1,0,0,0,0,0,0,0,0.71875,0.115789473684211
"1137",21.5,69.3,0,0,0,1,0,0,0,0,0,0.354166666666667,0.415789473684211
"1141",18.7,48,1,0,0,1,0,0,0,0,0,0.697916666666667,0.0657894736842105
"1146",12.2,47.7,0,0,0,1,0,0,0,0,0,0.572916666666667,0.584210526315789
"1151",24.9,46.4,0,0,1,0,0,0,0,0,0,0.604166666666667,0.5
"1152",6.2,26.6,0,0,0,1,0,0,0,0,0,0.270833333333333,0.681578947368421
"1153",7.5,41.2,0,0,1,0,0,0,0,0,0,0.270833333333333,0.0657894736842105
"1164",8.09999999999999,45.6,1,1,0,0,0,0,0,1,0,0.416666666666667,0.831578947368421
"1165",15.4,31,0,0,0,1,0,0,0,0,0,0.927083333333334,0.0842105263157895
"1167",3.3,46.6,1,0,0,1,0,0,0,0,0,0.229166666666666,0.75
"1175",13.4,56.5,0,0,1,0,0,0,0,0,0,0.645833333333333,0.1
"1180",21.6,46.3,0,0,1,0,0,0,0,1,0,0.5,0.415789473684211
"1190",2.8,49.1,1,0,0,1,0,0,0,0,0,0.59375,0.35
"1195",4.09999999999999,58,0,0,0,1,0,0,0,1,0,0.40625,0.184210526315789
"1200",14.8,68.7,0,0,0,1,0,0,1,0,0,0.135416666666666,0.115789473684211
"1211",13.8,65.3,0,0,1,0,0,0,0,0,0,0.96875,0.665789473684211
"1213",22.2,46.4,0,0,0,1,0,0,0,0,0,0.614583333333334,0.1
"1229",22.2,67.6,1,0,1,0,0,1,0,0,0,0.96875,0.65
"1230",20.2,51.3,1,0,1,0,0,0,0,0,0,0.979166666666667,0.65
"1237",22.2,73,0,0,0,1,0,0,0,0,0,0.572916666666667,0.35
"1241",14.1,47.2,0,1,0,0,0,0,0,0,0,0.635416666666666,0.5
"1245",8.7,56.2,0,0,1,0,0,0,0,0,0,0.989583333333334,0.45
