"","X","Y","G","head","foot.l","foot.r","pen","free.k","set.p","corner","fast.break","Xg","Yg"
"168",5.09999999999999,30.1,0,0,0,1,0,0,0,0,0,0.229166666666666,0.3
"169",21,69.7,0,0,0,1,0,0,0,1,0,0.15625,0.15
"170",11.5,50,0,0,1,0,1,0,0,0,0,0.90625,0.45
"171",18,31.3,0,0,1,0,0,0,0,0,0,0.3125,0.815789473684211
"172",7.8,44.1,0,0,0,1,0,0,0,0,0,0.291666666666667,0.0157894736842105
"173",7.40000000000001,61.4,1,1,0,0,0,0,0,0,0,0.885416666666667,0.0157894736842105
"174",15.2,69.3,0,0,1,0,0,0,0,0,1,0.635416666666666,0.115789473684211
"175",23.2,46.2,0,0,1,0,0,0,0,0,0,0.8125,0.765789473684211
"176",9.5,31.3,1,0,1,0,0,0,0,0,0,0.84375,0.0157894736842105
"177",11.3,29.5,0,0,0,1,0,0,0,0,0,0.572916666666667,0.265789473684211
"178",11,64.2,1,0,0,1,0,0,1,0,0,0.145833333333333,0.434210526315789
"179",10.3,62.4,1,0,0,1,0,0,0,0,0,0.1875,0.05
"180",3.3,47.2,1,0,0,1,0,0,0,0,0,0.34375,0.1
"181",21.5,30.1,0,0,1,0,0,0,0,0,0,0.96875,0.515789473684211
"182",3.09999999999999,49.3,0,0,0,1,0,0,0,0,0,0.34375,0.05
"183",12.4,28,0,0,0,1,0,0,0,0,0,0.416666666666667,0.0342105263157895
"184",13.6,75.2,0,0,0,1,0,0,0,0,1,0.270833333333333,0.0157894736842105
"185",10.5,50.1,1,0,1,0,0,0,0,0,0,0.166666666666666,0.0157894736842105
"186",19,82.9,0,0,0,1,0,0,0,0,0,0.53125,0.265789473684211
"187",20.9,47.2,0,0,0,1,0,0,0,0,0,0.541666666666667,0.365789473684211
"188",10.4,53.7,0,0,1,0,0,0,0,1,0,0.75,0.4
"189",20.2,30.2,0,0,0,1,0,0,0,0,0,0.6875,0.0157894736842105
"190",7.7,30.2,0,0,0,1,0,0,0,0,0,0.385416666666666,0.4
"191",10.3,67.9,0,0,1,0,0,0,0,0,0,0.958333333333333,0.15
"192",39.1,62.5,0,0,1,0,0,0,0,0,0,0.53125,0.165789473684211
"193",4.09999999999999,45,1,0,0,1,0,0,1,0,0,0.270833333333333,0.765789473684211
"194",28,47.7,0,0,0,1,0,0,0,0,0,0.510416666666667,0.65
"195",13.9,42.5,1,0,0,1,0,0,0,0,0,0.614583333333334,0.05
"196",10.6,58.9,0,0,0,1,0,0,0,0,0,0.541666666666667,0.134210526315789
"197",13.2,68.2,0,0,1,0,0,0,0,0,0,0.291666666666667,0.05
"198",11,57.9,0,0,0,1,0,0,0,0,0,0.770833333333334,0.681578947368421
"199",6.2,56.2,0,1,0,0,0,0,1,0,0,0.520833333333334,0.434210526315789
"200",23,51.1,0,0,0,1,0,0,0,0,0,0.0833333333333331,0.415789473684211
"201",4.59999999999999,56,0,1,0,0,0,0,0,0,0,0.53125,0.115789473684211
"202",32.2,34.2,0,0,0,1,0,0,0,0,0,0.260416666666667,0.6
"203",20,76.9,0,0,0,1,0,0,0,0,0,0.114583333333333,0.434210526315789
"204",8.3,54.4,0,1,0,0,0,0,0,0,0,0.614583333333334,0.415789473684211
"205",29.2,59,0,0,0,1,0,0,0,0,0,0.895833333333333,0.115789473684211
"206",27.1,35.3,0,0,0,1,0,0,0,0,0,0.5,0.115789473684211
"207",9.09999999999999,51.7,0,1,0,0,0,0,0,0,0,0.0520833333333334,0.365789473684211
"208",6.90000000000001,42.8,0,1,0,0,0,0,0,0,0,0.364583333333334,0.534210526315789
"209",16.1,36.9,0,0,1,0,0,0,0,0,0,0.0520833333333334,0.0342105263157895
"210",17.7,60.6,0,0,0,1,0,0,0,0,0,0.229166666666666,0.0342105263157895
"211",5.5,53.6,0,1,0,0,0,0,0,0,0,0.697916666666667,0.165789473684211
"212",11.6,42.6,0,0,1,0,0,0,0,0,0,0.135416666666666,0.218421052631579
"213",16.9,64.7,0,0,1,0,0,0,0,0,0,0.0729166666666663,0.25
"214",13.4,69.9,0,0,1,0,0,0,0,0,0,0.4375,0.534210526315789
"215",22.6,31.2,0,0,1,0,0,0,0,0,0,0.427083333333333,0.25
"216",9,37.5,0,0,0,1,0,0,0,0,0,0.270833333333333,0.4
"217",22,35.8,0,0,0,1,0,0,0,0,0,0.510416666666667,0.65
